Breed,Age,Color,Sex,Class
AM PIT BULL TER - CHOW CHOW,Older than 1 year,FEMALE,GRAY,Euthanized
,,FEMALE,WHITE,Euthanized
ALASKAN HUSKY - MIX,Older than 1 year,MALE,BLACK,Home
,,MALE,BLACK,Euthanized
LABRADOR RETR - MIX,Older than 7 years,FEMALE,WHITE,Euthanized
,Older than 1 year,MALE,BLACK,Other
,,UNKNOWN,GRAY,Euthanized
,,FEMALE,GRAY,Euthanized
,,FEMALE,ORG TABBY,Euthanized
,Infant - Younger than 6 months,MALE,ORG TABBY,Other
CHOW CHOW - MIX,Older than 1 year,FEMALE,RED,Other
SHIH TZU - MIX,Older than 7 years,FEMALE,WHITE,Euthanized
,,MALE,BLUE,Home
,Infant - Younger than 6 months,MALE,WHITE,Euthanized
,,MALE,RED,Euthanized
,,MALE,BR BRINDLE,Euthanized
,,UNKNOWN,ORANGE,Euthanized
,,MALE,ORANGE,Euthanized
,Older than 1 year,FEMALE,TORTIE,Euthanized
,,FEMALE,BR BRINDLE,Home
GERM SHEPHERD - LABRADOR RETR,Older than 7 years,MALE,BLACK,Euthanized
,Older than 7 years,FEMALE,CREAM,Home
,Older than 1 year,FEMALE,BLACK,Euthanized
,Youth - Younger than 1 year,MALE,GRAY,Home
,Older than 1 year,FEMALE,TORTIE,Other
,,FEMALE,GRAY,Euthanized
BEAGLE - AUST SHEPHERD,Infant - Younger than 6 months,FEMALE,BROWN,Home
,,UNKNOWN,BRN TABBY,Euthanized
LABRADOR RETR - DOBERMAN PINSCH,Infant - Younger than 6 months,FEMALE,BLACK,Euthanized
,Infant - Younger than 6 months,UNKNOWN,WHITE,Euthanized
SCHNAUZER MIN - MIX,Older than 1 year,FEMALE,BLACK,Other
,,FEMALE,BLACK,Euthanized
,,FEMALE,BLACK,Euthanized
BEAGLE - CHIHUAHUA SH,Older than 1 year,MALE,TRICOLOR,Home
,Infant - Younger than 6 months,MALE,BLACK,Home
,Older than 1 year,FEMALE,BLACK,Euthanized
,Infant - Younger than 6 months,MALE,BRN TABBY,Other
,,MALE,BLACK,Euthanized
,Infant - Younger than 6 months,FEMALE,BRN TABBY,Other
JACK RUSS TER - MIX,Infant - Younger than 6 months,MALE,TRICOLOR,Home
,Older than 1 year,MALE,WHITE,Home
LABRADOR RETR - MIX,Older than 1 year,FEMALE,BROWN,Home
,Older than 1 year,MALE,WHITE,Other
,Infant - Younger than 6 months,FEMALE,TORTIE,Home
,,UNKNOWN,BLACK,Other
,,MALE,ORG TABBY,Euthanized
,Infant - Younger than 6 months,MALE,GRAY,Euthanized
,,UNKNOWN,BLACK,Euthanized
DOMESTIC SH - DOMESTIC SH,,UNKNOWN,BLK TABBY,Euthanized
,,MALE,BL BRINDLE,Euthanized
,,UNKNOWN,ORG TABBY,Euthanized
,Infant - Younger than 6 months,MALE,BLACK,Home
,,MALE,BRN TABBY,Euthanized
,,FEMALE,CALICO,Euthanized
,Older than 1 year,FEMALE,RED,Home
PIT BULL - MIX,,FEMALE,BR BRINDLE,Home
,,MALE,TAN,Other
,Older than 1 year,FEMALE,WHITE,Home
GERM SHEPHERD - NEWFOUNDLAND,Infant - Younger than 6 months,MALE,BLACK,Other
,Older than 7 years,FEMALE,BLACK,Euthanized
,Infant - Younger than 6 months,UNKNOWN,BLK TABBY,Other
,Infant - Younger than 6 months,FEMALE,BLACK,Other
DACHSHUND - CHIHUAHUA SH,Older than 1 year,FEMALE,TRICOLOR,Home
,Infant - Younger than 6 months,FEMALE,BRN TABBY,Euthanized
,,FEMALE,BLACK,Other
,,UNKNOWN,GRAY,Euthanized
,Infant - Younger than 6 months,MALE,BRN TABBY,Other
,Youth - Younger than 1 year,FEMALE,GRAY,Home
,,MALE,BRN TABBY,Euthanized
,Older than 1 year,MALE,BLACK,Other
,Infant - Younger than 6 months,FEMALE,WHITE,Home
,Older than 1 year,MALE,WHITE,Other
,Older than 1 year,FEMALE,BLACK,Other
,,FEMALE,BROWN,Home
BEAGLE - MIX,Older than 1 year,MALE,TRICOLOR,Home
,Older than 1 year,MALE,WHITE,Home
,Older than 1 year,FEMALE,BROWN,Euthanized
,Infant - Younger than 6 months,MALE,BRN TABBY,Home
,,FEMALE,BLACK,Euthanized
,Infant - Younger than 6 months,FEMALE,GRAY TIGER,Home
SIBERIAN HUSKY - MIX,Youth - Younger than 1 year,FEMALE,WHITE,Home
,,FEMALE,BR BRINDLE,Euthanized
,Older than 1 year,MALE,BLACK,Home
