Breed,Age,Color,Sex,Class
,Older than 1 year,MALE,BLACK
CHIHUAHUA SH - MIX,Older than 1 year,FEMALE,BLACK
,Older than 1 year,FEMALE,BLACK
,,MALE,BLK TABBY
POODLE MIN - MIX,Older than 1 year,MALE,BROWN
,Infant - Younger than 6 months,MALE,ORANGE
,,FEMALE,BLACK
SCHNAUZER STAND - LABRADOR RETR,Infant - Younger than 6 months,FEMALE,BROWN
,Older than 1 year,MALE,YELLOW
,,MALE,BLACK
,Older than 1 year,MALE,ORG TABBY
BEAGLE - CATAHOULA,Older than 1 year,MALE,GRAY
,Infant - Younger than 6 months,MALE,WHITE
,Older than 7 years,FEMALE,BLACK
,,MALE,TAN
,,FEMALE,UNKNOWN
,,MALE,WHITE
ENG SETTER - MIX,,FEMALE,WHITE
,Infant - Younger than 6 months,MALE,BLACK
,Infant - Younger than 6 months,MALE,GOLD
,,MALE,BLACK
,Older than 1 year,MALE,BROWN
JINDO - CHOW CHOW,Older than 1 year,MALE,TAN
,Older than 7 years,MALE,BLACK
,,FEMALE,BROWN
,,FEMALE,BLACK
HARRIER - DACHSHUND,Older than 7 years,MALE,BLACK
,,UNKNOWN,BROWN
,,UNKNOWN,CALICO
,Older than 7 years,MALE,BLACK
LABRADOR RETR - BEAGLE,Older than 1 year,MALE,WHITE
,Older than 1 year,MALE,BLACK
BEAGLE - MIX,Youth - Younger than 1 year,FEMALE,TRICOLOR
,Youth - Younger than 1 year,MALE,TAN
,Infant - Younger than 6 months,MALE,BLACK
,,FEMALE,WHITE
,,FEMALE,BLACK
,Infant - Younger than 6 months,FEMALE,TORTIE
,Youth - Younger than 1 year,FEMALE,BRN TABBY
,Infant - Younger than 6 months,FEMALE,GRAY
,,MALE,WHITE
,,FEMALE,GRAY
,,MALE,BLACK
,,UNKNOWN,GRAY TABBY
BENGAL - MIX,Older than 1 year,FEMALE,BRN TABBY
LABRADOR RETR - MIX,Older than 1 year,FEMALE,BLACK
FLAT COAT RETR - BORDER COLLIE,Older than 1 year,FEMALE,BLACK
,,FEMALE,TORTIE
,Infant - Younger than 6 months,MALE,BLACK
,Infant - Younger than 6 months,FEMALE,WHITE
,Infant - Younger than 6 months,MALE,BRN TABBY
,Infant - Younger than 6 months,FEMALE,SLVR TABBY
,,MALE,BLK TABBY
,,FEMALE,BLACK
,Older than 1 year,FEMALE,BLACK
,,FEMALE,BRN TABBY
,,MALE,LYNX PT
,Older than 7 years,MALE,WHITE
,Infant - Younger than 6 months,FEMALE,CALICO
BOXER - MIX,Older than 1 year,FEMALE,TAN
POINTER - MIX,Infant - Younger than 6 months,FEMALE,WHITE
,Older than 1 year,MALE,BROWN
,Older than 1 year,MALE,CHOCOLATE
BEAGLE - MIX,,FEMALE,TRICOLOR
,Older than 1 year,FEMALE,BROWN
,,UNKNOWN,ORG TIGER
,,UNKNOWN,BLACK
,Infant - Younger than 6 months,FEMALE,CALICO
PIT BULL - MIX,,FEMALE,BR BRINDLE
POODLE MIN - MIX,Older than 1 year,FEMALE,WHITE
GERM SHEPHERD - MIX,,MALE,TAN
LABRADOR RETR - MIX,Youth - Younger than 1 year,FEMALE,BLACK
,,MALE,ORG TABBY
,Youth - Younger than 1 year,MALE,BROWN
,Older than 1 year,FEMALE,BLACK
,Older than 1 year,MALE,BLACK
,Older than 1 year,MALE,BLACK
,,FEMALE,BROWN
,Older than 1 year,MALE,BRN TABBY
CAIRN TERRIER - PBGV,Older than 1 year,FEMALE,BR BRINDLE
,,UNKNOWN,BLK TABBY
,Older than 1 year,MALE,BROWN
,,FEMALE,BRN TABBY
,Older than 1 year,FEMALE,BR BRINDLE
,,FEMALE,BRN TABBY
,Older than 1 year,FEMALE,TORTIE
,Infant - Younger than 6 months,MALE,BLACK
,,UNKNOWN,TORTIE
,Older than 1 year,MALE,CHOCOLATE
WHIPPET - PIT BULL,Older than 1 year,MALE,WHITE
,,UNKNOWN,GRAY TABBY
BEAGLE - LABRADOR RETR,Infant - Younger than 6 months,MALE,TAN
