uid1,uid2
116331,513283665
116331,546292662
116331,695385532
126630,410769
126630,513283665
126630,527553225
126630,546292662
126630,567076954
126630,582429121
126630,600548664
126630,662971783
126630,684630835
126630,695385532
126630,701697524
126630,1027062817
126630,1036636217
126630,1084369008
126630,1590753035
126630,1640974425
126630,100000015549191
126630,100000039116078
126630,100000154432470
126630,100000296942506
126630,100000602517018
126630,100000694268345
126630,100000886153020
126630,100001410551480
126630,100004574255238
126630,100005649373267
410769,126630
410769,4801121
410769,512732034
410769,527553225
410769,544021036
410769,590190627
410769,668205692
410769,684630835
410769,762845211
410769,1027062817
410769,1590753035
410769,100000013785573
410769,100000266200410
410769,100000552572086
410769,100004574255238
420874,618107
420874,2102967
420874,17504728
420874,61300726
420874,101700088
420874,172001256
420874,202902836
420874,522252358
420874,665100132
420874,1132636451
420874,1227610907
420874,1267639521
420874,100002200618965
506370,600949
506370,601882
506370,1238013
506370,1509804
506370,3331281
506370,9374187
506370,17821835
506370,18200045
506370,29201512
506370,37002724
506370,60711499
506370,506917852
506370,508956711
506370,517426254
506370,536663246
506370,540579618
506370,546179068
506370,589079010
506370,589617649
506370,597778741
506370,614286230
506370,615837196
506370,629320458
506370,659781080
506370,661185194
506370,671633819
506370,683511687
506370,696252057
506370,718832946
506370,733156388
506370,763494180
506370,875535240
506370,892455102
506370,1030110076
506370,1038750001
506370,1049580056
506370,1050570217
506370,1068871106
506370,1073949296
506370,1076087748
506370,1091400024
506370,1108639327
506370,1120787189
506370,1227211865
506370,1230510058
506370,1232833944
506370,1327530017
506370,1343896504
506370,1363821238
506370,1428111065
506370,1447080976
506370,1473030615
506370,1479570125
506370,1481324205
506370,1677870095
506370,100000029148865
506370,100000206954468
506370,100000331485180
506370,100000352770318
506370,100001036653603
506370,100002961471223
506370,100003039814401
506370,100003743835116
506370,100003811684814
506370,100006250084766
509287,2102967
509287,522252358
509287,649115018
509287,1043382151
509287,1132636451
600949,506370
600949,601882
600949,1238013
600949,1509804
600949,9374187
600949,17821835
600949,18200045
600949,29201512
600949,37002724
600949,60711499
600949,506917852
600949,508956711
600949,517426254
600949,536663246
600949,540579618
600949,589079010
600949,589617649
600949,597778741
600949,614286230
600949,615837196
600949,629320458
600949,659781080
600949,661185194
600949,683511687
600949,696252057
600949,733156388
600949,763494180
600949,875535240
600949,892455102
600949,1030110076
600949,1038750001
600949,1049580056
600949,1068871106
600949,1073949296
600949,1076087748
600949,1108639327
600949,1120787189
600949,1227211865
600949,1230510058
600949,1232833944
600949,1327530017
600949,1343896504
600949,1363821238
600949,1428111065
600949,1447080976
600949,1473030615
600949,1479570125
600949,1481324205
600949,100000029148865
600949,100000206954468
600949,100000331485180
600949,100000352770318
600949,100000890172806
600949,100001036653603
600949,100002961471223
600949,100003039814401
600949,100003743835116
600949,100003811684814
600949,100006250084766
601882,506370
601882,600949
601882,1238013
601882,1509804
601882,9374187
601882,17821835
601882,18200045
601882,37002724
601882,60711499
601882,506917852
601882,508956711
601882,517426254
601882,536663246
601882,540579618
601882,546179068
601882,589617649
601882,597778741
601882,614286230
601882,629320458
601882,659781080
601882,683511687
601882,696252057
601882,733156388
601882,763494180
601882,867730071
601882,875535240
601882,892455102
601882,1030110076
601882,1038750001
601882,1049580056
601882,1050570217
601882,1068871106
601882,1073949296
601882,1076087748
601882,1091400024
601882,1108639327
601882,1120787189
601882,1142160410
601882,1227211865
601882,1232833944
601882,1327530017
601882,1363821238
601882,1428111065
601882,1447080976
601882,1473030615
601882,1479570125
601882,1533914875
601882,100000029148865
601882,100000206954468
601882,100000331485180
601882,100000352770318
601882,100000890172806
601882,100001036653603
601882,100002961471223
601882,100003039814401
601882,100003743835116
601882,100003811684814
618107,420874
618107,2102967
618107,172001256
618107,202902836
618107,222401833
618107,522252358
618107,649115018
618107,665100132
618107,695385532
618107,1227610907
618107,1231948441
618107,1267639521
618107,1280599201
618107,1505173569
618107,1512741042
618107,100000127862643
1238013,506370
1238013,600949
1238013,601882
1238013,1509804
1238013,3331281
1238013,9374187
1238013,17821835
1238013,18200045
1238013,37002724
1238013,506917852
1238013,508956711
1238013,517426254
1238013,536663246
1238013,540579618
1238013,546179068
1238013,589617649
1238013,597778741
1238013,614286230
1238013,615837196
1238013,629320458
1238013,659781080
1238013,661185194
1238013,683511687
1238013,696252057
1238013,733156388
1238013,763494180
1238013,875535240
1238013,892455102
1238013,1030110076
1238013,1038750001
1238013,1073949296
1238013,1076087748
1238013,1108639327
1238013,1120787189
1238013,1227211865
1238013,1230510058
1238013,1232833944
1238013,1327530017
1238013,1343896504
1238013,1363821238
1238013,1428111065
1238013,1447080976
1238013,1473030615
1238013,1481324205
1238013,100000029148865
1238013,100000206954468
1238013,100000331485180
1238013,100000352770318
1238013,100001791209212
1238013,100002961471223
1238013,100003039814401
1238013,100003743835116
1238013,100003811684814
1238013,100006250084766
1507601,2259320
1507601,8606965
1507601,12806107
1507601,187701388
1507601,656780366
1507601,727563998
1507601,1186901075
1509804,506370
1509804,600949
1509804,601882
1509804,1238013
1509804,3331281
1509804,9374187
1509804,17821835
1509804,18200045
1509804,29201512
1509804,37002724
1509804,60711499
1509804,506917852
1509804,508956711
1509804,517426254
1509804,536663246
1509804,540579618
1509804,546179068
1509804,589079010
1509804,589617649
1509804,597778741
1509804,614286230
1509804,615837196
1509804,629320458
1509804,659781080
1509804,661185194
1509804,683511687
1509804,696252057
1509804,733156388
1509804,763494180
1509804,875535240
1509804,892455102
1509804,1030110076
1509804,1038750001
1509804,1049580056
1509804,1050570217
1509804,1068871106
1509804,1073949296
1509804,1076087748
1509804,1091400024
1509804,1108639327
1509804,1120787189
1509804,1227211865
1509804,1232833944
1509804,1327530017
1509804,1343896504
1509804,1363821238
1509804,1428111065
1509804,1447080976
1509804,1473030615
1509804,1479570125
1509804,1481324205
1509804,1677870095
1509804,100000029148865
1509804,100000206954468
1509804,100000331485180
1509804,100000352770318
1509804,100001036653603
1509804,100002961471223
1509804,100003039814401
1509804,100003743835116
1509804,100003811684814
1509804,100006250084766
2102967,420874
2102967,509287
2102967,618107
2102967,7946012
2102967,61300726
2102967,101700088
2102967,172001256
2102967,202902836
2102967,222401833
2102967,522252358
2102967,546292662
2102967,552801470
2102967,574460971
2102967,649115018
2102967,665100132
2102967,695385532
2102967,701697524
2102967,715057808
2102967,1043382151
2102967,1227610907
2102967,1231948441
2102967,1267639521
2102967,1408486756
2102967,1505173569
2102967,100000127862643
2102967,100000276073857
2102967,100000296889367
2259320,1507601
2259320,8606965
2259320,12806107
2259320,187701388
2259320,564030586
2259320,656780366
2259320,727563998
2259320,1186901075
3331281,506370
3331281,1238013
3331281,1509804
3331281,9374187
3331281,17821835
3331281,29201512
3331281,37002724
3331281,60711499
3331281,506917852
3331281,508956711
3331281,517426254
3331281,536663246
3331281,540579618
3331281,589617649
3331281,597778741
3331281,614286230
3331281,629320458
3331281,659781080
3331281,661185194
3331281,696252057
3331281,733156388
3331281,763494180
3331281,875535240
3331281,892455102
3331281,1030110076
3331281,1038750001
3331281,1049580056
3331281,1068871106
3331281,1073949296
3331281,1076087748
3331281,1108639327
3331281,1227211865
3331281,1232833944
3331281,1298409459
3331281,1327530017
3331281,1363821238
3331281,1428111065
3331281,1447080976
3331281,1473030615
3331281,1479570125
3331281,1481324205
3331281,100000029148865
3331281,100000206954468
3331281,100000331485180
3331281,100000352770318
3331281,100001036653603
3331281,100003743835116
3331281,100003811684814
4801121,410769
4801121,500877806
4801121,539810190
4801121,544021036
4801121,590190627
4801121,668205692
4801121,684630835
4801121,701697524
4801121,725083823
4801121,762845211
4801121,1009944166
4801121,100000013785573
4801121,100000552572086
4801121,100004574255238
7946012,2102967
7946012,101700088
7946012,513283665
7946012,522252358
7946012,546292662
7946012,665100132
7946012,695385532
7946012,715057808
7946012,1009944166
7946012,1267639521
8606965,1507601
8606965,2259320
8606965,187701388
8606965,656780366
8606965,727563998
8606965,1186901075
9374187,506370
9374187,600949
9374187,601882
9374187,1238013
9374187,1509804
9374187,3331281
9374187,17821835
9374187,18200045
9374187,29201512
9374187,37002724
9374187,60711499
9374187,506917852
9374187,508956711
9374187,517426254
9374187,536663246
9374187,540579618
9374187,546179068
9374187,589079010
9374187,589617649
9374187,597778741
9374187,614286230
9374187,615837196
9374187,629320458
9374187,659781080
9374187,661185194
9374187,671633819
9374187,683511687
9374187,696252057
9374187,718832946
9374187,722429902
9374187,727563998
9374187,733156388
9374187,763494180
9374187,875535240
9374187,892455102
9374187,1030110076
9374187,1038750001
9374187,1049580056
9374187,1050570217
9374187,1068871106
9374187,1073949296
9374187,1076087748
9374187,1091400024
9374187,1108639327
9374187,1120787189
9374187,1227211865
9374187,1230510058
9374187,1232833944
9374187,1327530017
9374187,1363821238
9374187,1428111065
9374187,1447080976
9374187,1473030615
9374187,1479570125
9374187,1481324205
9374187,100000029148865
9374187,100000206954468
9374187,100000331485180
9374187,100000352770318
9374187,100001036653603
9374187,100002961471223
9374187,100003039814401
9374187,100003743835116
9374187,100003811684814
9374187,100006250084766
12806107,1507601
12806107,2259320
12806107,187701388
12806107,564030586
12806107,656780366
12806107,727563998
17504728,420874
17504728,522252358
17821835,506370
17821835,600949
17821835,601882
17821835,1238013
17821835,1509804
17821835,3331281
17821835,9374187
17821835,18200045
17821835,29201512
17821835,37002724
17821835,60711499
17821835,506917852
17821835,508956711
17821835,517426254
17821835,536663246
17821835,540579618
17821835,546179068
17821835,589079010
17821835,589617649
17821835,597778741
17821835,614286230
17821835,615837196
17821835,629320458
17821835,659781080
17821835,661185194
17821835,671633819
17821835,683511687
17821835,696252057
17821835,718832946
17821835,733156388
17821835,763494180
17821835,875535240
17821835,892455102
17821835,1030110076
17821835,1038750001
17821835,1049580056
17821835,1050570217
17821835,1068871106
17821835,1073949296
17821835,1076087748
17821835,1091400024
17821835,1108639327
17821835,1120787189
17821835,1227211865
17821835,1230510058
17821835,1232833944
17821835,1327530017
17821835,1343896504
17821835,1363821238
17821835,1428111065
17821835,1447080976
17821835,1473030615
17821835,1479570125
17821835,1481324205
17821835,100000029148865
17821835,100000206954468
17821835,100000331485180
17821835,100000352770318
17821835,100001036653603
17821835,100002961471223
17821835,100003039814401
17821835,100003743835116
17821835,100003811684814
17821835,100006250084766
18200045,506370
18200045,600949
18200045,601882
18200045,1238013
18200045,1509804
18200045,9374187
18200045,17821835
18200045,29201512
18200045,37002724
18200045,60711499
18200045,506917852
18200045,508956711
18200045,517426254
18200045,536663246
18200045,540579618
18200045,546179068
18200045,589079010
18200045,589617649
18200045,597778741
18200045,614286230
18200045,615837196
18200045,629320458
18200045,659781080
18200045,683511687
18200045,696252057
18200045,733156388
18200045,763494180
18200045,875535240
18200045,892455102
18200045,1030110076
18200045,1038750001
18200045,1049580056
18200045,1050570217
18200045,1068871106
18200045,1073949296
18200045,1076087748
18200045,1108639327
18200045,1120787189
